season,round,race_name,circuit,country,date,driver,team,grid_position,finish_position,points_scored,status,dnf,q1_ms,q2_ms,q3_ms,rainfall,avg_air_temp,avg_track_temp,avg_humidity,avg_wind_speed
2020,1,Austrian Grand Prix,Spielberg,Austria,2020-07-05,BOT,Mercedes,1,1,25.0,Finished,0,,,,False,28.684166666666663,52.025,33.8325,1.8875
2020,1,Austrian Grand Prix,Spielberg,Austria,2020-07-05,LEC,Ferrari,7,2,18.0,Finished,0,,,,False,28.684166666666663,52.025,33.8325,1.8875
2020,1,Austrian Grand Prix,Spielberg,Austria,2020-07-05,NOR,McLaren,3,3,16.0,Finished,0,,,,False,28.684166666666663,52.025,33.8325,1.8875
2020,1,Austrian Grand Prix,Spielberg,Austria,2020-07-05,HAM,Mercedes,5,4,12.0,Finished,0,,,,False,28.684166666666663,52.025,33.8325,1.8875
2020,1,Austrian Grand Prix,Spielberg,Austria,2020-07-05,SAI,McLaren,8,5,10.0,Finished,0,,,,False,28.684166666666663,52.025,33.8325,1.8875
2020,1,Austrian Grand Prix,Spielberg,Austria,2020-07-05,PER,Racing Point,6,6,8.0,Finished,0,,,,False,28.684166666666663,52.025,33.8325,1.8875
2020,1,Austrian Grand Prix,Spielberg,Austria,2020-07-05,GAS,AlphaTauri,12,7,6.0,Finished,0,,,,False,28.684166666666663,52.025,33.8325,1.8875
2020,1,Austrian Grand Prix,Spielberg,Austria,2020-07-05,OCO,Renault,14,8,4.0,Finished,0,,,,False,28.684166666666663,52.025,33.8325,1.8875
2020,1,Austrian Grand Prix,Spielberg,Austria,2020-07-05,GIO,Alfa Romeo Racing,18,9,2.0,Finished,0,,,,False,28.684166666666663,52.025,33.8325,1.8875
2020,1,Austrian Grand Prix,Spielberg,Austria,2020-07-05,VET,Ferrari,11,10,1.0,Finished,0,,,,False,28.684166666666663,52.025,33.8325,1.8875
2020,1,Austrian Grand Prix,Spielberg,Austria,2020-07-05,LAT,Williams,20,11,0.0,Finished,0,,,,False,28.684166666666663,52.025,33.8325,1.8875
2020,1,Austrian Grand Prix,Spielberg,Austria,2020-07-05,KVY,AlphaTauri,13,12,0.0,Suspension,1,,,,False,28.684166666666663,52.025,33.8325,1.8875
2020,1,Austrian Grand Prix,Spielberg,Austria,2020-07-05,ALB,Red Bull Racing,4,13,0.0,Electronics,1,,,,False,28.684166666666663,52.025,33.8325,1.8875
2020,1,Austrian Grand Prix,Spielberg,Austria,2020-07-05,RAI,Alfa Romeo Racing,19,14,0.0,Wheel,1,,,,False,28.684166666666663,52.025,33.8325,1.8875
2020,1,Austrian Grand Prix,Spielberg,Austria,2020-07-05,RUS,Williams,17,15,0.0,Fuel pressure,1,,,,False,28.684166666666663,52.025,33.8325,1.8875
2020,1,Austrian Grand Prix,Spielberg,Austria,2020-07-05,GRO,Haas F1 Team,15,16,0.0,Brakes,1,,,,False,28.684166666666663,52.025,33.8325,1.8875
2020,1,Austrian Grand Prix,Spielberg,Austria,2020-07-05,MAG,Haas F1 Team,16,17,0.0,Brakes,1,,,,False,28.684166666666663,52.025,33.8325,1.8875
2020,1,Austrian Grand Prix,Spielberg,Austria,2020-07-05,STR,Racing Point,9,18,0.0,Engine,1,,,,False,28.684166666666663,52.025,33.8325,1.8875
2020,1,Austrian Grand Prix,Spielberg,Austria,2020-07-05,RIC,Renault,10,19,0.0,Overheating,1,,,,False,28.684166666666663,52.025,33.8325,1.8875
2020,1,Austrian Grand Prix,Spielberg,Austria,2020-07-05,VER,Red Bull Racing,2,20,0.0,Electronics,1,,,,False,28.684166666666663,52.025,33.8325,1.8875
2020,2,Styrian Grand Prix,Spielberg,Austria,2020-07-12,HAM,Mercedes,1,1,25.0,Finished,0,,,,True,20.8225,39.919999999999995,34.005,2.228333333333333
2020,2,Styrian Grand Prix,Spielberg,Austria,2020-07-12,BOT,Mercedes,4,2,18.0,Finished,0,,,,True,20.8225,39.919999999999995,34.005,2.228333333333333
2020,2,Styrian Grand Prix,Spielberg,Austria,2020-07-12,VER,Red Bull Racing,2,3,15.0,Finished,0,,,,True,20.8225,39.919999999999995,34.005,2.228333333333333
2020,2,Styrian Grand Prix,Spielberg,Austria,2020-07-12,ALB,Red Bull Racing,6,4,12.0,Finished,0,,,,True,20.8225,39.919999999999995,34.005,2.228333333333333
2020,2,Styrian Grand Prix,Spielberg,Austria,2020-07-12,NOR,McLaren,9,5,10.0,Finished,0,,,,True,20.8225,39.919999999999995,34.005,2.228333333333333
2020,2,Styrian Grand Prix,Spielberg,Austria,2020-07-12,PER,Racing Point,17,6,8.0,Finished,0,,,,True,20.8225,39.919999999999995,34.005,2.228333333333333
2020,2,Styrian Grand Prix,Spielberg,Austria,2020-07-12,STR,Racing Point,12,7,6.0,Finished,0,,,,True,20.8225,39.919999999999995,34.005,2.228333333333333
2020,2,Styrian Grand Prix,Spielberg,Austria,2020-07-12,RIC,Renault,8,8,4.0,Finished,0,,,,True,20.8225,39.919999999999995,34.005,2.228333333333333
2020,2,Styrian Grand Prix,Spielberg,Austria,2020-07-12,SAI,McLaren,3,9,3.0,+1 Lap,0,,,,True,20.8225,39.919999999999995,34.005,2.228333333333333
2020,2,Styrian Grand Prix,Spielberg,Austria,2020-07-12,KVY,AlphaTauri,13,10,1.0,+1 Lap,0,,,,True,20.8225,39.919999999999995,34.005,2.228333333333333
2020,2,Styrian Grand Prix,Spielberg,Austria,2020-07-12,RAI,Alfa Romeo Racing,16,11,0.0,+1 Lap,0,,,,True,20.8225,39.919999999999995,34.005,2.228333333333333
2020,2,Styrian Grand Prix,Spielberg,Austria,2020-07-12,MAG,Haas F1 Team,15,12,0.0,+1 Lap,0,,,,True,20.8225,39.919999999999995,34.005,2.228333333333333
2020,2,Styrian Grand Prix,Spielberg,Austria,2020-07-12,GRO,Haas F1 Team,0,13,0.0,+1 Lap,0,,,,True,20.8225,39.919999999999995,34.005,2.228333333333333
2020,2,Styrian Grand Prix,Spielberg,Austria,2020-07-12,GIO,Alfa Romeo Racing,19,14,0.0,+1 Lap,0,,,,True,20.8225,39.919999999999995,34.005,2.228333333333333
2020,2,Styrian Grand Prix,Spielberg,Austria,2020-07-12,GAS,AlphaTauri,7,15,0.0,+1 Lap,0,,,,True,20.8225,39.919999999999995,34.005,2.228333333333333
2020,2,Styrian Grand Prix,Spielberg,Austria,2020-07-12,RUS,Williams,11,16,0.0,+2 Laps,0,,,,True,20.8225,39.919999999999995,34.005,2.228333333333333
2020,2,Styrian Grand Prix,Spielberg,Austria,2020-07-12,LAT,Williams,18,17,0.0,+2 Laps,0,,,,True,20.8225,39.919999999999995,34.005,2.228333333333333
2020,2,Styrian Grand Prix,Spielberg,Austria,2020-07-12,OCO,Renault,5,18,0.0,Overheating,1,,,,True,20.8225,39.919999999999995,34.005,2.228333333333333
2020,2,Styrian Grand Prix,Spielberg,Austria,2020-07-12,LEC,Ferrari,14,19,0.0,Collision damage,1,,,,True,20.8225,39.919999999999995,34.005,2.228333333333333
