season,round,race_name,circuit_id,circuit_name,country,date,driver,driver_id,team,grid_position,finish_position,points_scored,laps_completed,status,dnf,fastest_lap_ms,fastest_lap_rank,race_time_ms,quali_position,best_quali_ms,pole_time_ms,gap_to_pole_ms,gap_to_pole_pct,pit_stops,precipitation_mm,temp_max_c,temp_min_c,wind_max_kmh,precipitation_hours,rainfall,historical_dnf_rate,avg_positions_gained,had_sc,had_vsc,had_red_flag,sc_pct,vsc_pct,avg_air_temp,avg_track_temp,start_compound,num_stints,soft_pct,medium_pct,hard_pct,is_winner,is_podium,circuit_sc_rate
2018,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Australia,2018-03-25,VET,vettel,Ferrari,3,1,25.0,58,Finished,0,86469.0,4,5373283.0,3.0,81838.0,81164.0,674.0,0.830417426445222,1.0,5.2,23.4,11.1,39.8,7.0,True,0.234,0.0,1.0,1.0,0.0,0.1034482758620689,0.0689655172413793,24.077477477477483,36.32432432432432,,3.0,0.5517241379310345,0.0,0.0,1,1,0.5
2018,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Australia,2018-03-25,HAM,hamilton,Mercedes,1,2,18.0,58,Finished,0,86444.0,3,5378319.0,1.0,81164.0,81164.0,0.0,0.0,1.0,5.2,23.4,11.1,39.8,7.0,True,0.234,0.0,1.0,1.0,0.0,0.1034482758620689,0.0689655172413793,24.077477477477483,36.32432432432432,,3.0,0.6724137931034483,0.0,0.0,0,1,0.5
2018,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Australia,2018-03-25,RAI,raikkonen,Ferrari,2,3,15.0,58,Finished,0,86373.0,2,5379592.0,2.0,81828.0,81164.0,664.0,0.8180966931151742,1.0,5.2,23.4,11.1,39.8,7.0,True,0.234,0.0,1.0,1.0,0.0,0.1034482758620689,0.0689655172413793,24.077477477477483,36.32432432432432,,3.0,0.6896551724137931,0.0,0.0,0,1,0.5
2018,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Australia,2018-03-25,RIC,ricciardo,Red Bull,8,4,12.0,58,Finished,0,85945.0,1,5380352.0,5.0,82152.0,81164.0,988.0,1.2172884530087231,1.0,5.2,23.4,11.1,39.8,7.0,True,0.234,0.0,1.0,1.0,0.0,0.1034482758620689,0.0689655172413793,24.077477477477483,36.32432432432432,,3.0,0.5517241379310345,0.0,0.0,0,0,0.5
2018,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Australia,2018-03-25,ALO,alonso,McLaren,10,5,10.0,58,Finished,0,86978.00000000001,7,5401169.0,11.0,83692.0,81164.0,2528.0,3.114681385836085,1.0,5.2,23.4,11.1,39.8,7.0,True,0.234,0.0,1.0,1.0,0.0,0.1034482758620689,0.0689655172413793,24.077477477477483,36.32432432432432,,3.0,0.5517241379310345,0.0,0.0,0,0,0.5
2018,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Australia,2018-03-25,VER,max_verstappen,Red Bull,4,6,8.0,58,Finished,0,86880.0,5,5402228.0,4.0,81879.0,81164.0,715.0,0.880932433098418,1.0,5.2,23.4,11.1,39.8,7.0,True,0.234,0.0,1.0,1.0,0.0,0.1034482758620689,0.0689655172413793,24.077477477477483,36.32432432432432,,3.0,0.6379310344827587,0.0,0.0,0,0,0.5
2018,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Australia,2018-03-25,HUL,hulkenberg,Renault,7,7,6.0,58,Finished,0,87081.0,9,5405954.0,8.0,83532.0,81164.0,2368.0,2.91754965255532,1.0,5.2,23.4,11.1,39.8,7.0,True,0.234,0.0,1.0,1.0,0.0,0.1034482758620689,0.0689655172413793,24.077477477477483,36.32432432432432,,3.0,0.5862068965517241,0.0,0.0,0,0,0.5
2018,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Australia,2018-03-25,BOT,bottas,Mercedes,15,8,4.0,58,Finished,0,87019.0,8,5407622.0,10.0,82089.0,81164.0,925.0,1.139667833029422,1.0,5.2,23.4,11.1,39.8,7.0,True,0.234,0.0,1.0,1.0,0.0,0.1034482758620689,0.0689655172413793,24.077477477477483,36.32432432432432,,3.0,0.0,0.0,0.0,0,0,0.5
2018,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Australia,2018-03-25,VAN,vandoorne,McLaren,11,9,2.0,58,Finished,0,86958.0,6,5408204.0,12.0,83853.00000000001,81164.0,2689.0000000000146,3.3130451924498727,1.0,5.2,23.4,11.1,39.8,7.0,True,0.234,0.0,1.0,1.0,0.0,0.1034482758620689,0.0689655172413793,24.077477477477483,36.32432432432432,,3.0,0.0,0.0,0.0,0,0,0.5
2018,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Australia,2018-03-25,SAI,sainz,Renault,9,10,1.0,58,Finished,0,87944.0,12,5419005.0,9.0,83577.0,81164.0,2413.0,2.9729929525405354,1.0,5.2,23.4,11.1,39.8,7.0,True,0.234,0.0,1.0,1.0,0.0,0.1034482758620689,0.0689655172413793,24.077477477477483,36.32432432432432,,3.0,0.6206896551724138,0.0,0.0,0,0,0.5
2018,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Australia,2018-03-25,PER,perez,Force India,12,11,0.0,58,Finished,0,87633.0,11,5420100.0,13.0,84005.0,81164.0,2841.0,3.500320339066582,1.0,5.2,23.4,11.1,39.8,7.0,True,0.234,0.0,1.0,1.0,0.0,0.1034482758620689,0.0689655172413793,24.077477477477483,36.32432432432432,,3.0,0.5862068965517241,0.0,0.0,0,0,0.5
2018,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Australia,2018-03-25,OCO,ocon,Force India,14,12,0.0,58,Finished,0,87600.0,10,5433561.0,15.0,84786.0,81164.0,3622.0,4.462569612143315,1.0,5.2,23.4,11.1,39.8,7.0,True,0.234,0.0,1.0,1.0,0.0,0.1034482758620689,0.0689655172413793,24.077477477477483,36.32432432432432,,3.0,0.603448275862069,0.0,0.0,0,0,0.5
