season,round,driver_id,pit_stops
2018,1,brendon_hartley,2
2018,1,raikkonen,1
2018,1,hamilton,1
2018,1,leclerc,2
2018,1,max_verstappen,1
2018,1,kevin_magnussen,1
2018,1,sainz,1
2018,1,ocon,1
2018,1,grosjean,1
2018,1,hulkenberg,1
2018,1,perez,1
2018,1,vandoorne,1
2018,1,bottas,1
2018,1,stroll,2
2018,1,vettel,1
2018,1,ricciardo,1
2018,1,alonso,1
2018,2,max_verstappen,1
2018,2,leclerc,2
2018,2,perez,2
2018,2,vandoorne,2
2018,2,stroll,2
2018,2,kevin_magnussen,2
2018,2,alonso,2
2018,2,gasly,2
2018,2,hulkenberg,2
2018,2,ocon,2
2018,2,sainz,2
2018,2,vettel,1
2018,2,grosjean,3
2018,2,raikkonen,1
2018,2,bottas,1
2018,2,brendon_hartley,2
2018,2,sirotkin,2
2018,2,ericsson,1
2018,2,hamilton,1
2018,3,brendon_hartley,2
2018,3,ocon,2
2018,3,sainz,2
2018,3,perez,2
2018,3,hulkenberg,2
2018,3,grosjean,2
2018,3,max_verstappen,2
2018,3,ricciardo,2
2018,3,hamilton,1
2018,3,bottas,1
2018,3,vettel,1
2018,3,gasly,2
2018,3,leclerc,1
2018,3,vandoorne,1
2018,3,stroll,1
2018,3,kevin_magnussen,1
2018,3,raikkonen,1
2018,3,sirotkin,2
2018,3,alonso,1
2018,3,ericsson,1
2018,4,raikkonen,2
2018,4,brendon_hartley,3
2018,4,alonso,2
2018,4,kevin_magnussen,2
2018,4,ericsson,4
2018,4,perez,2
2018,4,grosjean,2
2018,4,gasly,2
2018,4,sainz,2
2018,4,vandoorne,4
2018,4,hamilton,2
2018,4,stroll,2
2018,4,leclerc,2
2018,4,vettel,2
2018,4,ricciardo,1
2018,4,max_verstappen,1
2018,4,bottas,1
2018,5,brendon_hartley,2
2018,5,sirotkin,3
2018,5,vettel,2
2018,5,bottas,1
2018,5,leclerc,1
2018,5,stroll,1
2018,5,alonso,1
2018,5,hamilton,1
2018,5,sainz,1
2018,5,perez,2
2018,5,ocon,1
2018,5,kevin_magnussen,1
2018,5,ricciardo,1
2018,5,max_verstappen,1
2018,5,vandoorne,1
2018,5,ericsson,1
2018,6,sirotkin,3
2018,6,stroll,3
2018,6,hamilton,1
2018,6,brendon_hartley,1
2018,6,leclerc,1
2018,6,grosjean,2
2018,6,vettel,1
2018,6,sainz,1
2018,6,ricciardo,1
2018,6,raikkonen,1
2018,6,bottas,1
2018,6,ericsson,1
2018,6,kevin_magnussen,1
2018,6,alonso,1
2018,6,vandoorne,2
2018,6,perez,1
2018,6,ocon,1
2018,6,gasly,1
2018,6,max_verstappen,1
2018,6,hulkenberg,1
2018,7,vandoorne,2
2018,7,ericsson,1
2018,7,perez,2
2018,7,ocon,1
2018,7,hulkenberg,1
2018,7,sainz,1
2018,7,max_verstappen,1
2018,7,hamilton,1
2018,7,ricciardo,1
2018,7,alonso,1
2018,7,leclerc,1
2018,7,kevin_magnussen,1
2018,7,gasly,1
2018,7,sirotkin,1
2018,7,raikkonen,1
2018,7,bottas,1
2018,7,vettel,1
2018,7,grosjean,1
2018,8,stroll,1
2018,8,sirotkin,1
2018,8,vettel,2
2018,8,alonso,2
2018,8,bottas,2
2018,8,max_verstappen,1
2018,8,sainz,1
2018,8,ricciardo,1
2018,8,kevin_magnussen,1
2018,8,leclerc,1
2018,8,hamilton,1
2018,8,raikkonen,1
2018,8,grosjean,1
2018,8,ericsson,1
2018,8,hulkenberg,1
2018,8,brendon_hartley,1
2018,8,vandoorne,1
2018,9,vandoorne,2
2018,9,max_verstappen,1
2018,9,raikkonen,1
2018,9,ricciardo,2
2018,9,vettel,1
2018,9,grosjean,1
2018,9,ocon,1
2018,9,sainz,2
2018,9,stroll,2
2018,9,gasly,1
2018,9,leclerc,1
2018,9,alonso,1
2018,9,sirotkin,2
2018,9,hamilton,2
2018,9,perez,1
2018,9,kevin_magnussen,1
2018,9,ericsson,1
2018,10,raikkonen,2
2018,10,alonso,2
2018,10,perez,2
2018,10,max_verstappen,2
2018,10,sainz,2
2018,10,ricciardo,2
2018,10,leclerc,1
2018,10,ocon,1
2018,10,vettel,2
2018,10,hulkenberg,1
2018,10,gasly,2
2018,10,bottas,1
2018,10,vandoorne,2
2018,10,sirotkin,1
2018,10,ericsson,1
2018,10,hamilton,1
2018,10,kevin_magnussen,1
2018,10,grosjean,1
2018,10,stroll,1
2018,11,raikkonen,2
2018,11,hulkenberg,3
2018,11,kevin_magnussen,3
2018,11,sainz,3
2018,11,leclerc,3
2018,11,grosjean,3
2018,11,perez,1
2018,11,vettel,1
2018,11,ocon,1
2018,11,stroll,2
2018,11,bottas,2
2018,11,brendon_hartley,2
2018,11,sirotkin,2
2018,11,max_verstappen,3
2018,11,vandoorne,2
2018,11,alonso,3
2018,11,ericsson,1
2018,11,hamilton,1
2018,11,gasly,2
2018,12,ericsson,1
2018,12,raikkonen,2
2018,12,bottas,1
2018,12,perez,1
2018,12,hulkenberg,2
2018,12,brendon_hartley,1
2018,12,hamilton,1
2018,12,sainz,1
2018,12,grosjean,1
2018,12,kevin_magnussen,1
2018,12,sirotkin,1
2018,12,gasly,1
2018,12,vettel,1
2018,12,alonso,1
2018,12,ocon,1
2018,12,vandoorne,1
2018,12,ricciardo,1
2018,12,stroll,1
2018,13,vettel,2
2018,13,hamilton,2
2018,13,perez,2
2018,13,ocon,2
2018,13,max_verstappen,2
2018,13,grosjean,2
2018,13,kevin_magnussen,2
2018,13,gasly,2
2018,13,ericsson,2
2018,13,sirotkin,2
2018,13,stroll,2
2018,13,brendon_hartley,2
2018,13,sainz,2
2018,13,bottas,3
2018,13,vandoorne,3
2018,13,raikkonen,2
2018,14,hulkenberg,2
2018,14,ricciardo,1
2018,14,vettel,2
2018,14,ericsson,2
2018,14,kevin_magnussen,1
2018,14,raikkonen,1
2018,14,grosjean,1
2018,14,vandoorne,1
2018,14,max_verstappen,1
2018,14,hamilton,1
2018,14,gasly,1
2018,14,leclerc,1
2018,14,stroll,1
2018,14,bottas,1
2018,14,sirotkin,1
2018,14,ocon,1
2018,14,perez,1
2018,14,sainz,1
2018,15,sirotkin,2
2018,15,vettel,1
2018,15,brendon_hartley,2
2018,15,hamilton,1
2018,15,hulkenberg,1
2018,15,bottas,1
2018,15,grosjean,1
2018,15,max_verstappen,1
2018,15,perez,3
2018,15,raikkonen,1
2018,15,gasly,1
2018,15,kevin_magnussen,3
2018,15,ricciardo,1
2018,15,sainz,1
2018,15,alonso,1
2018,15,leclerc,1
2018,15,stroll,1
2018,15,vandoorne,1
2018,15,ericsson,1
2018,16,brendon_hartley,1
2018,16,alonso,1
2018,16,stroll,1
2018,16,grosjean,1
2018,16,kevin_magnussen,1
2018,16,leclerc,1
2018,16,ocon,1
2018,16,sirotkin,1
2018,16,ericsson,2
2018,16,vandoorne,1
2018,16,bottas,1
2018,16,perez,1
2018,16,vettel,1
2018,16,hamilton,1
2018,16,raikkonen,1
2018,16,sainz,1
2018,16,hulkenberg,1
2018,16,ricciardo,1
2018,16,max_verstappen,1
2018,17,kevin_magnussen,1
2018,17,leclerc,2
2018,17,sirotkin,2
2018,17,ericsson,1
2018,17,stroll,2
2018,17,raikkonen,1
2018,17,max_verstappen,1
2018,17,bottas,1
2018,17,ricciardo,1
2018,17,vandoorne,1
2018,17,hamilton,1
2018,17,perez,1
2018,17,ocon,1
2018,17,vettel,1
2018,17,alonso,1
2018,17,brendon_hartley,1
2018,17,grosjean,1
2018,17,gasly,1
2018,17,hulkenberg,1
2018,17,sainz,1
2018,18,leclerc,1
2018,18,stroll,3
2018,18,grosjean,1
2018,18,sirotkin,2
2018,18,vandoorne,2
2018,18,gasly,2
2018,18,hamilton,2
2018,18,raikkonen,1
2018,18,max_verstappen,1
2018,18,ocon,1
2018,18,bottas,1
2018,18,hulkenberg,1
2018,18,sainz,1
2018,18,perez,1
2018,18,vettel,1
2018,18,brendon_hartley,1
2018,18,kevin_magnussen,1
2018,18,ericsson,1
2018,19,ocon,2
2018,19,brendon_hartley,2
2018,19,gasly,2
2018,19,stroll,2
2018,19,hamilton,2
2018,19,bottas,3
2018,19,sainz,1
2018,19,sirotkin,1
2018,19,ricciardo,1
2018,19,hulkenberg,1
2018,19,vandoorne,1
2018,19,max_verstappen,2
2018,19,leclerc,1
2018,19,ericsson,1
2018,19,vettel,2
2018,19,raikkonen,1
2018,19,perez,1
2018,19,kevin_magnussen,1
2018,19,grosjean,2
2018,20,alonso,2
2018,20,sirotkin,1
2018,20,stroll,2
2018,20,bottas,2
2018,20,ericsson,1
2018,20,hamilton,1
2018,20,gasly,1
2018,20,sainz,2
2018,20,vettel,2
2018,20,vandoorne,1
2018,20,raikkonen,1
2018,20,grosjean,1
2018,20,max_verstappen,1
2018,20,leclerc,1
2018,20,ricciardo,1
2018,20,perez,1
2018,20,ocon,2
2018,20,kevin_magnussen,1
2018,20,brendon_hartley,1
2018,21,brendon_hartley,1
2018,21,hamilton,1
2018,21,leclerc,1
2018,21,grosjean,1
2018,21,vettel,1
2018,21,bottas,2
2018,21,max_verstappen,1
2018,21,ocon,1
2018,21,perez,1
2018,21,alonso,1
2018,21,gasly,1
2018,21,ricciardo,1
2018,21,vandoorne,1
2018,21,sirotkin,1
2018,21,sainz,1
2018,21,stroll,1
2018,21,kevin_magnussen,1
2019,1,kubica,3
2019,1,ricciardo,1
2019,1,raikkonen,1
2019,1,hulkenberg,1
2019,1,perez,1
2019,1,vettel,1
2019,1,kevin_magnussen,1
2019,1,albon,1
2019,1,hamilton,1
2019,1,grosjean,1
2019,1,norris,1
2019,1,bottas,1
2019,1,max_verstappen,1
2019,1,kvyat,1
2019,1,russell,2
2019,1,stroll,1
2019,1,giovinazzi,1
2019,1,leclerc,1
2019,1,gasly,1
2019,2,stroll,2
2019,2,grosjean,1
2019,2,sainz,3
2019,2,perez,2
2019,2,raikkonen,2
2019,2,gasly,2
2019,2,albon,2
2019,2,norris,2
2019,2,kevin_magnussen,2
2019,2,max_verstappen,2
2019,2,kubica,2
2019,2,bottas,2
2019,2,hulkenberg,2
2019,2,kvyat,2
2019,2,russell,2
2019,2,leclerc,2
2019,2,hamilton,2
2019,2,vettel,3
2019,2,giovinazzi,2
2019,2,ricciardo,1
2019,3,sainz,2
2019,3,norris,3
2019,3,kvyat,3
2019,3,giovinazzi,2
2019,3,grosjean,2
2019,3,kevin_magnussen,2
2019,3,hulkenberg,1
2019,3,max_verstappen,2
2019,3,vettel,2
2019,3,ricciardo,1
