season,round,race_name,circuit_id,circuit_name,country,date,driver,driver_id,team,grid_position,finish_position,points_scored,laps_completed,status,dnf,fastest_lap_ms,fastest_lap_rank,race_time_ms
2018,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Australia,2018-03-25,VET,vettel,Ferrari,3,1,25.0,58,Finished,0,86469.0,4,5373283.0
2018,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Australia,2018-03-25,HAM,hamilton,Mercedes,1,2,18.0,58,Finished,0,86444.0,3,5378319.0
2018,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Australia,2018-03-25,RAI,raikkonen,Ferrari,2,3,15.0,58,Finished,0,86373.0,2,5379592.0
2018,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Australia,2018-03-25,RIC,ricciardo,Red Bull,8,4,12.0,58,Finished,0,85945.0,1,5380352.0
2018,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Australia,2018-03-25,ALO,alonso,McLaren,10,5,10.0,58,Finished,0,86978.00000000001,7,5401169.0
2018,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Australia,2018-03-25,VER,max_verstappen,Red Bull,4,6,8.0,58,Finished,0,86880.0,5,5402228.0
2018,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Australia,2018-03-25,HUL,hulkenberg,Renault,7,7,6.0,58,Finished,0,87081.0,9,5405954.0
2018,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Australia,2018-03-25,BOT,bottas,Mercedes,15,8,4.0,58,Finished,0,87019.0,8,5407622.0
2018,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Australia,2018-03-25,VAN,vandoorne,McLaren,11,9,2.0,58,Finished,0,86958.0,6,5408204.0
2018,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Australia,2018-03-25,SAI,sainz,Renault,9,10,1.0,58,Finished,0,87944.0,12,5419005.0
2018,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Australia,2018-03-25,PER,perez,Force India,12,11,0.0,58,Finished,0,87633.0,11,5420100.0
2018,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Australia,2018-03-25,OCO,ocon,Force India,14,12,0.0,58,Finished,0,87600.0,10,5433561.0
2018,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Australia,2018-03-25,LEC,leclerc,Sauber,18,13,0.0,58,Finished,0,88759.0,15,5449042.0
2018,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Australia,2018-03-25,STR,stroll,Williams,13,14,0.0,58,Finished,0,88511.0,14,5451571.0
2018,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Australia,2018-03-25,HAR,brendon_hartley,Toro Rosso,16,15,0.0,57,+1 Lap,0,88176.0,13,
2018,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Australia,2018-03-25,GRO,grosjean,Haas F1 Team,6,16,0.0,24,Wheel,1,88805.0,16,
2018,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Australia,2018-03-25,MAG,kevin_magnussen,Haas F1 Team,5,17,0.0,22,Wheel,1,89533.99999999999,17,
2018,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Australia,2018-03-25,GAS,gasly,Toro Rosso,20,18,0.0,13,Engine,1,90649.0,18,
2018,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Australia,2018-03-25,ERI,ericsson,Sauber,17,19,0.0,5,Steering,1,92210.00000000001,19,
2018,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Australia,2018-03-25,SIR,sirotkin,Williams,19,20,0.0,4,Brakes,1,92573.00000000001,20,
2018,2,Bahrain Grand Prix,bahrain,Bahrain International Circuit,Bahrain,2018-04-08,VET,vettel,Ferrari,1,1,25.0,57,Finished,0,94453.0,7,5521940.0
2018,2,Bahrain Grand Prix,bahrain,Bahrain International Circuit,Bahrain,2018-04-08,BOT,bottas,Mercedes,3,2,18.0,57,Finished,0,93740.00000000001,1,5522639.0
2018,2,Bahrain Grand Prix,bahrain,Bahrain International Circuit,Bahrain,2018-04-08,HAM,hamilton,Mercedes,9,3,15.0,57,Finished,0,93953.0,2,5528452.0
2018,2,Bahrain Grand Prix,bahrain,Bahrain International Circuit,Bahrain,2018-04-08,GAS,gasly,Toro Rosso,5,4,12.0,57,Finished,0,94863.0,11,5584174.0
2018,2,Bahrain Grand Prix,bahrain,Bahrain International Circuit,Bahrain,2018-04-08,MAG,kevin_magnussen,Haas F1 Team,6,5,10.0,57,Finished,0,94327.0,5,5596986.0
2018,2,Bahrain Grand Prix,bahrain,Bahrain International Circuit,Bahrain,2018-04-08,HUL,hulkenberg,Renault,7,6,8.0,57,Finished,0,94667.0,9,5620964.0
2018,2,Bahrain Grand Prix,bahrain,Bahrain International Circuit,Bahrain,2018-04-08,ALO,alonso,McLaren,13,7,6.0,56,+1 Lap,0,94168.0,4,
2018,2,Bahrain Grand Prix,bahrain,Bahrain International Circuit,Bahrain,2018-04-08,VAN,vandoorne,McLaren,14,8,4.0,56,+1 Lap,0,95131.0,16,
2018,2,Bahrain Grand Prix,bahrain,Bahrain International Circuit,Bahrain,2018-04-08,ERI,ericsson,Sauber,17,9,2.0,56,+1 Lap,0,95093.0,15,
2018,2,Bahrain Grand Prix,bahrain,Bahrain International Circuit,Bahrain,2018-04-08,OCO,ocon,Force India,8,10,1.0,56,+1 Lap,0,95043.0,12,
2018,2,Bahrain Grand Prix,bahrain,Bahrain International Circuit,Bahrain,2018-04-08,SAI,sainz,Renault,10,11,0.0,56,+1 Lap,0,95535.0,18,
2018,2,Bahrain Grand Prix,bahrain,Bahrain International Circuit,Bahrain,2018-04-08,LEC,leclerc,Sauber,19,12,0.0,56,+1 Lap,0,95075.0,14,
2018,2,Bahrain Grand Prix,bahrain,Bahrain International Circuit,Bahrain,2018-04-08,GRO,grosjean,Haas F1 Team,16,13,0.0,56,+1 Lap,0,94689.0,10,
2018,2,Bahrain Grand Prix,bahrain,Bahrain International Circuit,Bahrain,2018-04-08,STR,stroll,Williams,20,14,0.0,56,+1 Lap,0,95058.0,13,
