circuit_id,historical_dnf_rate,avg_positions_gained,total_races
albert_park,0.234,0.0,2
americas,0.1643,-0.1377,3
bahrain,0.1389,-0.0335,5
baku,0.1929,-0.1022,4
catalunya,0.0881,-0.0443,6
hockenheimring,0.3,0.0,1
hungaroring,0.1125,-0.109,5
imola,0.14,-0.0306,4
interlagos,0.1786,-0.0797,3
istanbul,0.1,-0.0789,2
jeddah,0.18,0.0,3
losail,0.175,0.0,3
marina_bay,0.1417,-0.0508,3
miami,0.1373,0.04,3
monaco,0.1214,0.0,4
monza,0.1562,-0.0064,3
mugello,0.4,0.0,1
nurburgring,0.25,0.0,1
portimao,0.05,0.0,2
red_bull_ring,0.15,-0.0914,5
ricard,0.125,-0.0886,3
rodriguez,0.1571,-0.0725,3
shanghai,0.1765,-0.099,3
silverstone,0.1722,-0.0225,4
sochi,0.1375,-0.1899,3
spa,0.1125,0.0065,4
suzuka,0.1268,-0.0213,5
vegas,0.1667,0.0,2
villeneuve,0.15,-0.0252,4
yas_marina,0.1313,0.0,4
zandvoort,0.11,-0.1959,2
