season,round,circuit_id,date,precipitation_mm,temp_max_c,temp_min_c,wind_max_kmh,precipitation_hours,rainfall
2018,1,albert_park,2018-03-25,5.2,23.4,11.1,39.8,7.0,True
2018,2,bahrain,2018-04-08,0.0,32.0,22.2,22.5,0.0,False
2018,3,shanghai,2018-04-15,0.0,18.3,8.1,15.2,0.0,False
2018,4,baku,2018-04-29,0.5,20.1,12.4,45.8,4.0,False
2018,5,catalunya,2018-05-13,23.5,16.0,9.4,19.5,13.0,True
2018,6,monaco,2018-05-27,0.4,28.0,20.7,20.6,2.0,False
2018,7,villeneuve,2018-06-10,0.0,19.8,9.6,13.0,0.0,False
2018,8,ricard,2018-06-24,0.0,23.5,16.1,15.1,0.0,False
2018,9,red_bull_ring,2018-07-01,0.0,19.5,11.1,12.3,0.0,False
2018,10,silverstone,2018-07-08,0.0,29.0,15.8,20.3,0.0,False
2018,11,hockenheimring,2018-07-22,2.1,26.8,18.0,13.2,8.0,True
2018,12,hungaroring,2018-07-29,0.0,33.4,21.0,19.1,0.0,False
2018,13,spa,2018-08-26,2.3,17.0,5.8,21.7,4.0,True
2018,14,monza,2018-09-02,2.1,20.0,15.3,5.9,7.0,True
2018,15,marina_bay,2018-09-16,1.2,29.3,26.1,22.0,6.0,True
2018,16,sochi,2018-09-30,0.0,23.9,15.2,13.9,0.0,False
2018,17,suzuka,2018-10-07,0.0,26.5,19.4,18.7,0.0,False
2018,18,americas,2018-10-21,0.0,21.1,13.4,20.1,0.0,False
2018,19,rodriguez,2018-10-28,1.0,20.2,12.2,14.3,8.0,True
2018,20,interlagos,2018-11-11,1.6,25.1,17.0,20.4,9.0,True
2018,21,yas_marina,2018-11-25,0.6,32.8,23.1,33.1,2.0,True
2019,1,albert_park,2019-03-17,0.0,25.0,13.2,15.2,0.0,False
2019,2,bahrain,2019-03-31,0.0,29.8,20.9,39.5,0.0,False
2019,3,shanghai,2019-04-14,0.0,19.0,9.2,20.6,0.0,False
2019,4,baku,2019-04-28,0.0,17.5,10.6,28.5,0.0,False
2019,5,catalunya,2019-05-12,0.0,20.6,11.4,22.3,0.0,False
2019,6,monaco,2019-05-26,1.1,21.5,14.1,7.9,4.0,True
2019,7,villeneuve,2019-06-09,0.0,26.8,12.3,15.3,0.0,False
2019,8,ricard,2019-06-23,0.0,27.9,16.9,13.5,0.0,False
2019,9,red_bull_ring,2019-06-30,0.0,33.8,12.9,11.4,0.0,False
2019,10,silverstone,2019-07-14,1.2,20.0,13.6,16.7,7.0,True
2019,11,hockenheimring,2019-07-28,11.7,25.0,19.6,18.7,21.0,True
2019,12,hungaroring,2019-08-04,0.1,23.2,15.4,14.5,1.0,False
2019,13,spa,2019-09-01,0.2,17.9,12.7,16.2,2.0,False
